gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
ACBD3;0,01;0,94;0,63;1,12
ACBD4;0,00;1,02;1,09;0,50
ACBD5;0,00;0,88;0,73;1,67
ACBD6;0,00;1,07;1,04;0,16
ACBD7;0,00;1,24;1,52;-0,17
ACCS;0,00;0,98;0,90;0,79
ACCSL;0,00;0,92;1,04;1,38
ACD;0,00;0,95;0,92;1,07
ACE;0,00;1,07;0,88;-0,50
ACER1;0,00;1,08;1,41;0,11
ACER2;0,00;1,16;1,16;-0,40
ACER3;0,30;0,93;0,82;0,87
ACHE;0,81;0,79;0,55;2,75
ACIN1;1,00;0,85;0,15;2,78
ACKR1;0,02;1,14;1,84;-0,38
ACKR2;0,12;0,98;1,93;0,80
ACKR3;0,98;0,86;0,49;1,69
ACKR4;0,12;0,54;1,22;3,56
ACLY;1,00;0,73;0,40;4,26
ACMSD;0,00;1,07;1,06;0,13
ACO1;0,00;0,87;0,84;2,11
ACO2;0,98;0,68;0,49;4,34
ACOD1;0,00;0,95;1,53;1,02
ACOT1;0,20;0,44;1,53;2,99
ACOT11;0,00;0,99;1,09;0,75
ACOT12;0,00;1,11;0,92;-0,42
ACOT13;0,00;1,06;1,45;0,32
ACOT2;0,00;1,05;1,19;0,27
ACOT4;0,00;1,07;1,59;0,06
ACOT6;0,00;1,16;1,96;-0,50
ACOT7;0,99;0,82;0,47;2,09
ACOT8;0,00;0,93;1,10;1,11
ACOX1;0,00;0,77;0,67;3,07
ACOX2;0,00;0,96;0,91;1,07
ACOX3;0,00;1,06;1,11;-0,09
ACOXL;0,00;0,98;1,24;0,84
ACP1;0,00;1,08;1,55;0,26
ACP2;0,00;0,91;0,80;1,34
ACP3;0,00;1,03;1,08;0,40
ACP4;0,00;1,16;1,41;-0,73
ACP5;0,00;0,88;1,14;1,46
ACP6;0,00;0,99;1,31;0,67
ACP7;0,00;1,00;1,15;0,63
ACR;0,00;0,91;0,94;1,29
ACRBP;0,00;0,93;0,91;1,29
ACRV1;0,00;0,97;0,82;0,82
ACSBG1;0,00;0,87;0,59;2,05
ACSBG2;0,00;0,93;0,99;1,36
ACSF2;0,00;0,87;0,84;1,90
ACSF3;0,00;1,26;1,72;-2,00
ACSL1;0,05;0,85;0,56;2,18
ACSL3;0,01;0,81;0,61;2,51
ACSL5;0,00;0,94;0,70;1,25
ACSL6;0,00;0,84;0,58;2,32
ACSM1;0,00;0,97;1,25;0,89
ACSM2A;0,00;1,07;1,23;-0,03
ACSM2B;0,00;1,06;0,96;0,09
ACSM3;0,00;0,95;1,00;1,10
ACSM4;0,00;0,94;1,07;1,15
ACSM5;0,00;1,05;1,00;0,15
ACSS1;0,00;0,88;0,71;1,88
ACSS2;0,00;0,90;0,79;1,67
ACSS3;0,00;0,97;0,93;0,93
ACTA1;0,00;0,34;0,93;6,09
ACTA2;0,99;0,50;0,47;4,62
ACTB;1,00;0,13;0,19;7,69
ACTBL2;0,00;1,09;1,62;-0,11
ACTC1;0,97;0,28;0,51;6,32
ACTG1;0,46;0,48;0,62;4,89
ACTG2;0,28;0,52;0,63;4,36
ACTL10;0,00;1,33;1,95;-1,48
ACTL6A;1,00;0,59;0,19;3,63
ACTL6B;0,00;0,67;0,95;3,37
ACTL7A;0,00;1,01;1,18;0,52
ACTL7B;0,00;1,15;1,41;-0,61
ACTL8;0,60;0,82;0,76;2,00
ACTL9;0,19;1,14;1,58;-0,55
ACTN1;1,00;0,64;0,33;5,20
ACTN2;1,00;0,87;0,43;2,27
ACTN3;0,00;1,08;0,94;-0,34
ACTN4;1,00;0,60;0,24;5,69
ACTR10;0,00;1,02;1,15;0,49
ACTR1A;1,00;0,55;0,34;4,12
ACTR1B;0,00;0,99;0,97;0,67
ACTR2;1,00;0,44;0,18;4,52
ACTR3;0,99;0,63;0,46;3,11
ACTR3B;1,00;0,60;0,33;3,59
ACTR3C;0,00;0,89;1,05;1,19
ACTR5;0,00;1,08;0,99;-0,17
ACTR6;0,00;0,79;1,02;1,95
ACTR8;0,00;0,92;1,03;1,37
ACTRT2;0,29;1,01;1,31;0,55
ACTRT3;0,00;1,00;1,24;0,61
ACVR1;0,00;0,74;0,84;2,95
ACVR1B;1,00;0,57;0,40;4,55
ACVR1C;0,17;0,84;0,60;1,97
ACVR2A;1,00;0,53;0,22;4,73
ACVR2B;1,00;0,74;0,41;3,05
ACVRL1;0,51;0,72;0,57;3,19
ACY1;0,00;0,92;0,90;1,27
ACY3;0,00;1,08;1,20;0,03
ACYP1;0,01;0,89;1,30;1,01
ACYP2;0,07;1,35;1,73;-0,41
ADA;0,00;1,02;1,18;0,47
ADA2;0,00;1,03;0,88;0,32
ADAD1;0,00;0,92;0,78;1,35
ADAD2;0,00;1,54;1,52;-4,68
ADAL;0,00;0,93;1,20;1,10
ADAM10;1,00;0,69;0,28;3,92
ADAM11;0,00;0,84;0,58;2,39
ADAM12;0,00;0,90;0,82;1,76
ADAM15;0,00;0,92;0,83;1,54
ADAM17;0,10;0,81;0,57;2,58
ADAM18;0,00;1,17;1,59;-0,81
ADAM19;0,00;0,93;0,74;1,52
ADAM2;0,00;1,08;1,19;0,01
ADAM20;0,12;0,99;1,93;0,74
ADAM21;0,14;0,83;1,91;2,33
ADAM23;1,00;0,88;0,42;1,97
ADAM28;0,00;1,09;1,23;-0,30
ADAM29;0,01;0,98;1,94;0,83
ADAM30;0,15;1,00;1,90;0,61
ADAM32;0,00;1,07;1,04;0,00
ADAM33;0,00;1,21;1,29;-1,75
ADAM7;0,00;1,10;1,16;-0,42
ADAM8;0,00;1,18;1,42;-1,40
ADAM9;0,00;0,85;0,58;2,33
ADAMTS1;1,00;1,04;0,33;0,12
ADAMTS10;1,00;0,77;0,47;3,81
ADAMTS12;0,00;0,95;0,78;1,48
ADAMTS13;0,00;0,98;0,92;0,93
ADAMTS14;0,00;0,99;0,97;0,81
ADAMTS15;0,03;1,05;0,60;-0,07
ADAMTS16;0,00;1,06;0,79;-0,20
ADAMTS17;0,00;1,16;0,97;-1,54
ADAMTS18;0,00;1,33;1,06;-4,09
ADAMTS19;0,00;1,08;0,83;-0,39
ADAMTS2;0,00;0,94;0,57;1,49
ADAMTS20;0,00;1,05;0,95;-0,18
ADAMTS3;0,00;0,98;0,67;0,95
ADAMTS4;0,00;0,94;0,73;1,33
ADAMTS5;0,00;1,00;0,82;0,66
ADAMTS6;1,00;0,73;0,23;4,22
ADAMTS7;0,00;0,97;0,76;1,04
ADAMTS8;0,00;1,11;1,08;-0,69
ADAMTS9;0,87;0,95;0,47;1,53
ADAMTSL1;0,00;1,20;0,74;-2,76
ADAMTSL2;0,00;0,96;0,68;1,08
ADAMTSL3;0,00;0,94;0,69;1,67
ADAMTSL4;0,00;0,98;0,92;0,94
ADAMTSL5;0,00;1,33;1,41;-2,31
ADAP1;0,00;1,24;0,95;-1,24
ADAP2;0,00;0,98;1,03;0,77
ADAR;1,00;0,80;0,45;3,42
ADARB1;1,00;0,71;0,32;3,74
ADARB2;0,00;1,20;0,68;-1,55
ADAT1;0,00;1,22;1,19;-1,40
ADAT2;0,00;0,96;1,33;0,80
ADAT3;0,00;1,73;1,93;-4,89
ADCK1;0,00;1,01;0,92;0,56
ADCK2;0,00;0,93;0,92;1,28
ADCK5;0,00;1,13;1,00;-0,58
ADCY1;1,00;0,69;0,35;4,71
ADCY10;0,00;0,89;0,92;2,31
ADCY2;1,00;0,67;0,33;4,95
ADCY3;0,00;0,82;0,70;3,20
ADCY4;0,00;0,99;1,09;0,75
ADCY5;1,00;0,72;0,33;4,48
ADCY7;0,00;0,87;0,74;2,39
ADCY8;0,00;0,90;0,59;2,05
ADCY9;0,00;0,92;0,60;1,91
ADCYAP1;0,22;1,39;0,86;-1,51
ADCYAP1R1;0,00;0,84;0,80;1,96
ADD1;1,00;0,94;0,39;1,35
ADD2;1,00;0,82;0,39;2,63
ADD3;1,00;0,96;0,40;0,99
ADGB;0,00;1,04;0,94;0,02
ADGRA1;0,00;1,17;1,03;-1,00
ADGRA2;0,00;1,08;0,94;-0,54
ADGRA3;0,00;0,95;0,61;1,25
ADGRB1;1,00;0,93;0,37;1,69
ADGRB2;1,00;0,80;0,38;3,84
ADGRB3;1,00;0,88;0,25;2,43
ADGRD1;0,00;0,95;0,83;1,12
ADGRE1;0,00;0,98;0,95;0,90
ADGRE2;0,00;0,84;1,03;2,37
ADGRE3;0,00;0,95;1,27;1,10
ADGRE5;0,00;0,98;0,97;0,80
ADGRF1;0,00;1,08;1,25;-0,34
ADGRF4;0,00;1,12;1,36;-0,56
ADGRF5;0,00;0,96;0,72;1,20
ADGRG1;0,00;0,93;0,87;1,40
ADGRG3;0,00;0,98;0,93;0,80
ADGRG5;0,00;1,00;0,98;0,65
ADGRG6;0,17;0,97;0,63;0,89
ADGRG7;0,00;0,98;1,19;0,76
ADGRL3;1,00;0,87;0,45;2,49
ADGRL4;0,00;1,12;1,44;-0,52
ADGRV1;0,00;0,94;0,64;2,33
ADH1A;0,00;1,06;1,10;0,17
ADH1B;0,00;0,97;1,01;0,81
ADH1C;0,00;0,93;0,99;1,14
ADH4;0,00;1,12;1,08;-0,25
ADH5;0,00;0,86;1,19;1,59
ADH6;0,00;1,04;1,26;0,34
ADH7;0,00;1,20;1,43;-0,93
ADHFE1;0,00;1,08;0,97;-0,03
ADI1;0,00;1,17;1,71;-0,26
ADIPOQ;0,00;1,09;1,66;0,02
ADIPOR1;0,78;0,63;0,57;3,54
ADIPOR2;0,18;0,62;0,64;3,52
ADIRF;0,00;1,43;1,79;-0,74
ADK;0,00;0,83;0,89;1,72
ADM;0,90;1,05;0,58;0,33
ADM2;0,00;1,60;1,90;-2,04
ADM5;0,21;1,12;1,82;0,05
ADNP;1,00;0,85;0,11;2,58
ADNP2;0,18;0,99;0,90;0,68
ADO;0,00;1,22;1,48;-0,75
ADORA1;0,86;0,74;0,60;2,55
ADORA2A;0,03;0,85;0,85;1,84
ADORA2B;0,00;1,14;1,41;-0,39
ADORA3;0,13;0,91;1,20;1,22
ADPGK;0,00;1,01;0,94;0,50
ADPRM;0,00;0,85;0,96;1,70
ADPRS;0,00;1,12;1,16;-0,29
ADRA1A;0,00;1,04;1,34;0,29
ADRA1B;0,00;1,18;1,45;-0,97
ADRA1D;0,00;1,17;1,77;-1,07
ADRA2A;0,00;1,15;1,78;-0,69
ADRA2B;0,00;1,03;1,56;0,31
ADRA2C;0,17;1,02;1,12;0,46
ADRB1;0,11;1,18;1,94;-0,85
ADRB2;0,00;0,83;0,90;2,01
ADRB3;0,00;1,27;1,95;-1,53
ADRM1;1,00;0,92;0,19;1,24
ADSL;0,00;0,87;0,92;1,79
ADSS1;0,00;1,08;1,25;-0,10
ADSS2;0,14;0,72;0,65;2,64
ADTRP;0,00;0,96;1,07;0,85
AEBP1;0,00;0,95;0,74;1,31
AEBP2;0,99;1,16;0,46;-0,67
AEN;0,00;1,12;1,67;-0,25
AFAP1L1;0,00;0,94;0,94;1,34
AFAP1L2;0,00;0,97;0,61;0,95
AFDN;1,00;0,92;0,40;1,90
AFF1;0,95;1,01;0,49;0,53
AFF3;1,00;0,88;0,32;2,27
AFF4;1,00;0,77;0,11;3,65
AFG1L;0,00;1,03;1,02;0,43
AFG3L2;0,00;0,78;0,72;3,07
AFM;0,00;1,12;1,44;-0,42
AFP;0,00;0,99;0,96;0,67
AGA;0,00;1,07;0,94;0,12
AGAP1;1,00;0,90;0,37;1,79
AGAP2;1,00;0,90;0,41;1,96
AGAP3;1,00;0,73;0,36;4,01
AGAP5;0,47;0,47;0,72;5,37
AGAP9;0,00;0,57;0,82;4,15
AGBL1;0,00;1,25;1,31;-2,63
AGBL2;0,00;0,87;0,94;2,08
AGBL3;0,00;0,88;0,89;1,96
AGBL4;0,00;1,00;1,11;0,59
AGBL5;0,00;0,89;0,71;1,93
AGER;0,00;0,97;1,07;0,83
AGFG1;1,00;0,90;0,29;1,50
AGFG2;0,00;1,07;0,87;0,03
AGGF1;0,00;0,99;0,81;0,74
AGK;0,00;0,93;0,92;1,07
AGL;0,00;0,98;0,72;0,88
AGMAT;0,00;1,19;1,71;-0,78
AGMO;0,00;1,51;1,56;-2,55
AGO1;1,00;0,52;0,16;6,44
AGO2;1,00;0,48;0,10;6,98
AGO3;1,00;0,52;0,23;6,21
AGO4;1,00;0,68;0,39;4,46
AGPAT1;1,00;0,54;0,37;3,78
AGPAT2;0,00;1,22;1,20;-0,86
AGPAT3;1,00;0,68;0,21;3,16
AGPAT4;1,00;0,69;0,46;3,05
AGPAT5;0,00;1,55;1,39;-3,37
AGPS;1,00;0,75;0,41;2,80
AGR2;0,00;0,97;1,34;0,74
AGR3;0,00;1,31;1,93;-0,44
AGRN;0,00;1,17;0,73;-2,57
AGRP;0,02;1,07;1,09;0,29
AGT;0,00;1,02;1,20;0,42
AGTPBP1;0,01;0,85;0,56;2,56
AGTR1;0,00;0,90;1,11;1,38
AGTRAP;0,13;0,96;0,84;0,79
AGXT;0,00;1,14;1,25;-0,48
AGXT2;0,00;1,06;1,19;0,08
AHCTF1;1,00;0,88;0,14;2,73
AHCY;0,00;0,78;0,73;2,53
AHCYL1;1,00;0,51;0,34;5,12
AHDC1;1,00;0,89;0,17;2,48
AHI1;0,00;1,07;1,07;-0,23
AHNAK;0,00;1,00;0,79;0,77
AHNAK2;0,00;1,21;0,92;-5,93
AHR;0,01;1,00;0,61;0,66
AHRR;0,00;1,13;0,90;-0,82
AHSA1;0,98;0,91;0,51;1,18
AHSG;0,00;1,06;1,04;0,14
AHSP;0,00;1,24;1,95;-0,30
AICDA;0,00;0,93;1,14;0,99
AIDA;0,93;0,83;0,55;1,56
AIF1;0,00;1,02;1,41;0,53
AIF1L;0,00;1,10;1,10;0,14
AIFM2;0,00;1,01;1,40;0,53
AIFM3;0,00;0,99;1,11;0,73
AIG1;0,00;1,10;1,28;0,08
AIM2;0,00;0,90;1,42;1,31
AIMP1;0,00;1,05;0,93;0,27
AIMP2;0,00;1,28;1,11;-1,45
AIP;0,28;0,91;0,63;1,28
AIPL1;0,00;1,02;1,01;0,42
AIRE;0,00;1,18;1,17;-1,04
AJAP1;1,00;1,19;0,38;-0,92
AJM1;0,00;1,26;1,16;-2,02
AJUBA;0,43;0,90;0,58;1,52
AK1;0,01;0,93;0,87;1,01
AK2;0,00;0,97;0,95;0,77
AK3;0,00;1,60;1,60;-2,82
AK4;0,01;0,79;0,94;1,75
AK5;0,98;0,78;0,50;2,55
AK6;0,00;1,04;1,38;0,42
AK7;0,00;0,99;0,95;0,67
AK8;0,00;0,97;1,12;0,84
AK9;0,00;0,90;0,85;2,28
AKAIN1;0,11;1,13;1,51;0,19
AKAP1;0,67;0,85;0,53;2,49
AKAP10;1,00;0,87;0,38;1,84
AKAP11;1,00;0,98;0,32;0,88
AKAP12;0,97;0,95;0,50;1,39
AKAP13;1,00;1,06;0,36;-0,69
AKAP3;0,02;0,92;0,62;1,53
AKAP5;0,66;0,88;0,70;1,53
AKAP6;1,00;0,97;0,37;1,13
AKAP7;0,00;1,04;1,33;0,38
AKAP8;0,99;1,05;0,48;0,04
AKAP8L;0,02;0,97;0,59;0,89
AKAP9;0,00;0,94;0,66;2,05
AKIP1;0,00;1,22;1,32;-0,62
AKIRIN1;0,99;1,27;0,44;-0,74
AKIRIN2;0,99;0,98;0,46;0,72
AKNA;0,00;1,01;0,63;0,39
AKNAD1;0,00;1,00;0,91;0,66
AKR1A1;0,00;0,96;0,87;0,91
AKR1B1;0,00;0,95;0,75;0,96
AKR1B10;0,00;1,03;1,32;0,42
AKR1B15;0,00;1,10;1,53;-0,07
AKR1C1;0,00;1,02;1,26;0,51
AKR1C3;0,00;1,28;1,34;-1,21
AKR1C4;0,00;1,16;1,34;-0,45
AKR1D1;0,00;0,94;1,16;0,99
AKR1E2;0,00;1,11;1,30;-0,19
AKR7A2;0,00;1,16;1,06;-0,67
AKR7A3;0,00;0,97;1,41;0,84
AKT1;1,00;0,61;0,47;4,22
AKT1S1;0,00;1,36;1,49;-1,54
AKT2;1,00;0,69;0,40;3,43
AKT3;0,99;0,45;0,48;4,24
AKTIP;0,37;0,79;0,61;2,04
ALAD;0,10;0,76;0,63;2,43
ALAS1;0,00;0,87;0,65;1,97
ALB;0,11;0,96;0,58;1,01
ALCAM;1,00;0,87;0,47;1,75
ALDH16A1;0,00;1,26;1,18;-2,40
ALDH18A1;0,00;0,78;0,62;3,10
ALDH1A1;0,87;0,88;0,54;1,55
ALDH1A2;0,17;0,92;0,58;1,33
ALDH1A3;0,00;0,82;0,67;2,26
ALDH1B1;0,00;1,00;1,03;0,60
ALDH1L1;0,00;0,96;0,82;1,06
ALDH1L2;0,00;0,91;0,97;1,72
ALDH2;0,00;0,89;0,99;1,66
ALDH3A1;0,00;1,04;1,25;0,26
ALDH3A2;0,00;0,96;0,97;0,98
ALDH3B1;0,00;1,07;1,22;-0,01
ALDH4A1;0,00;1,07;0,90;-0,04
ALDH5A1;0,00;1,03;0,85;0,29
ALDH6A1;0,00;0,85;0,84;2,02
ALDH7A1;0,00;0,96;0,98;0,94
ALDH8A1;0,00;0,99;1,11;0,69
ALDH9A1;0,00;1,03;0,89;0,36
ALDOA;0,00;0,95;0,82;1,05
ALDOB;0,00;1,18;1,18;-0,75
ALDOC;0,00;0,78;0,79;2,34
ALG1;0,00;1,38;1,42;-2,67
ALG10;0,00;0,93;0,90;1,18
ALG10B;0,00;1,04;1,02;0,32
ALG11;0,00;0,94;0,91;1,12
ALG12;0,00;0,96;0,97;0,94
ALG14;0,00;1,10;1,06;0,02
ALG1L2;0,00;1,34;1,61;-1,29
ALG2;0,00;1,19;1,41;-0,94
ALG3;0,00;0,98;0,97;0,76
ALG5;0,02;0,89;0,82;1,24
ALG6;0,00;0,90;0,89;1,32
ALG8;0,00;1,02;0,91;0,42
ALG9;0,00;0,88;0,85;1,74
ALK;0,00;0,98;0,56;0,96
ALKAL1;0,00;1,72;1,94;-1,78
ALKAL2;0,03;1,69;1,30;-2,25
ALKBH1;0,00;1,02;1,13;0,42
ALKBH2;0,00;0,99;1,39;0,67
ALKBH3;0,00;1,08;1,43;0,10
ALKBH4;0,00;1,07;1,04;0,11
ALKBH5;1,00;0,67;0,19;3,34
ALKBH6;0,00;1,05;1,15;0,33
ALKBH7;0,00;1,30;1,68;-1,22
ALKBH8;0,00;1,01;0,80;0,55
ALLC;0,00;1,07;1,14;0,06
ALMS1;0,00;1,09;0,83;-1,69
ALOX12;0,00;0,90;0,92;1,63
ALOX12B;0,00;0,89;0,78;1,77
ALOX15;0,00;1,01;1,12;0,52
ALOX15B;0,00;1,09;1,26;-0,32
ALOX5;0,00;0,98;0,93;0,87
ALOX5AP;0,13;0,92;0,80;1,01
ALOXE3;0,00;1,05;1,04;0,11
ALPG;0,00;0,98;1,10;0,80
ALPI;0,00;1,01;1,16;0,53
ALPK1;0,00;1,01;1,08;0,52
ALPK2;0,00;0,90;0,86;2,56
ALPK3;0,00;1,05;0,87;-0,20
ALPL;0,00;0,86;0,99;1,91
ALPP;0,00;0,91;1,12;1,43
ALS2;0,00;0,85;0,65;2,97
ALS2CL;0,00;1,00;1,08;0,67
ALX1;0,00;1,04;0,84;0,29
ALX3;0,00;1,17;1,05;-0,61
ALX4;0,00;1,11;0,90;-0,26
ALYREF;1,00;1,13;0,24;-0,17
AMACR;0,00;1,10;1,24;-0,15
AMBN;0,00;1,09;1,35;-0,07
AMBP;0,00;1,06;1,02;0,14
AMBRA1;0,94;0,81;0,49;3,44
AMDHD1;0,00;1,17;1,38;-0,74
AMDHD2;0,00;1,03;0,87;0,39
AMER2;0,84;1,16;0,66;-1,14
AMER3;NA;1,10;NA;-0,60
AMFR;0,00;0,90;0,63;1,63
AMH;0,00;1,75;1,95;-5,96
AMHR2;0,00;0,93;0,78;1,32
AMIGO1;1,00;0,61;0,10;4,07
AMIGO2;0,00;0,89;0,97;1,59
AMIGO3;0,00;1,10;1,84;-0,32
AMMECR1L;1,00;0,63;0,26;3,21
AMN;0,00;1,41;1,45;-2,73
AMN1;0,01;0,83;0,84;1,58
AMOTL1;0,00;0,95;0,58;1,29
AMOTL2;0,06;0,99;0,57;0,77
AMPD1;0,00;0,96;1,04;1,10
AMPD2;0,00;0,75;0,71;3,64
AMPH;0,00;0,95;0,70;1,14
AMT;0,00;0,95;0,81;1,00
AMTN;0,00;1,06;1,66;0,32
AMY1A;0,07;0,68;1,90;0,97
AMY1C;0,87;0,19;0,56;1,97
AMY2A;0,02;0,74;0,85;1,93
AMY2B;0,00;1,12;1,40;-0,46
AMZ1;0,00;1,70;1,88;-5,68
AMZ2;0,00;0,96;1,00;0,92
ANAPC1;1,00;0,64;0,27;5,26
ANAPC10;0,52;0,97;0,86;0,73
ANAPC11;0,55;0,71;0,79;1,66
ANAPC13;0,00;1,01;1,60;0,59
ANAPC16;0,34;0,99;0,85;0,66
ANAPC2;0,99;0,80;0,48;3,02
ANAPC4;0,00;0,80;0,76;2,54
ANAPC5;0,00;0,74;0,89;3,31
ANAPC7;0,99;0,77;0,48;2,81
ANG;0,42;1,02;1,70;0,52
ANGEL1;0,00;0,90;0,98;1,67
ANGEL2;0,00;0,89;0,79;1,57
ANGPT1;1,00;0,84;0,41;2,02
ANGPT2;0,03;1,24;0,61;-1,44
ANGPT4;0,00;1,07;1,19;0,02
ANGPTL1;0,00;0,99;0,98;0,71
ANGPTL2;0,01;0,86;0,64;1,91
ANGPTL3;0,00;1,02;1,21;0,43
ANGPTL4;0,00;1,13;1,48;-0,40
ANGPTL5;0,00;1,12;1,16;-0,17
ANGPTL6;0,00;1,28;1,34;-1,75
ANGPTL7;0,00;1,00;1,23;0,57
ANGPTL8;0,00;1,12;1,75;-0,04
ANHX;0,00;1,04;0,78;0,32
ANK1;1,00;0,82;0,30;3,85
ANK2;1,00;0,86;0,27;4,28
ANK3;1,00;0,82;0,16;5,37
ANKAR;0,00;0,95;1,07;1,26
ANKDD1A;0,00;1,00;1,14;0,57
ANKDD1B;0,00;1,06;1,17;0,22
ANKEF1;0,00;0,98;0,77;0,81
ANKFN1;0,00;1,07;0,74;-0,37
ANKFY1;1,00;0,84;0,46;2,90
ANKH;1,00;0,68;0,46;3,54
ANKHD1;1,00;0,74;0,18;5,81
ANKIB1;0,34;0,78;0,53;3,25
ANKK1;0,00;1,16;1,38;-1,14
