gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
CLTC;1,00;0,31;0,10;7,76
COPA;1,00;0,68;0,11;3,56
COL1A1;1,00;0,72;0,11;3,53
DHX15;1,00;0,30;0,11;5,63
DHX9;1,00;0,42;0,11;5,84
MAP2;1,00;0,97;0,11;0,88
ZMYM3;1,00;0,53;0,11;4,31
AGO2;1,00;0,33;0,11;6,06
ANK2;1,00;0,91;0,11;1,96
RALGAPB;1,00;0,74;0,11;3,18
IPO7;1,00;0,63;0,11;3,53
PRPF19;1,00;0,46;0,11;3,74
SCAF4;1,00;0,85;0,11;1,94
TBL1XR1;1,00;0,33;0,11;4,20
ZCCHC11;1,00;0,79;0,11;2,76
ZCCHC6;1,00;0,78;0,11;2,73
ANKRD11;1,00;1,08;0,11;-0,55
PAFAH1B1;1,00;0,42;0,11;3,53
ZEB2;1,00;0,62;0,11;3,94
AP2A2;1,00;0,69;0,11;3,13
SMU1;1,00;0,33;0,11;4,31
NAA25;1,00;0,63;0,11;3,45
UBA1;1,00;0,60;0,11;3,48
BAZ1B;1,00;0,68;0,11;3,72
HNRNPH1;1,00;0,35;0,11;4,09
VPRBP;1,00;0,49;0,11;4,84
CTIF;1,00;0,86;0,11;1,49
ABCB7;1,00;0,59;0,11;2,90
UTP15;1,00;0,85;0,11;1,44
SETBP1;1,00;0,95;0,11;1,10
ARID5B;1,00;0,77;0,11;2,60
RBM10;1,00;0,45;0,11;4,46
TPR;1,00;0,80;0,11;2,99
RCOR1;1,00;0,75;0,11;1,87
SUFU;1,00;0,76;0,11;1,93
TRPS1;1,00;0,89;0,11;1,54
MTA1;1,00;0,61;0,11;3,50
RUVBL2;1,00;0,59;0,11;3,11
EIF4G3;1,00;0,76;0,11;2,97
MDM4;1,00;0,79;0,11;1,71
NTRK2;1,00;0,57;0,11;3,73
ANKHD1;1,00;0,70;0,11;4,47
ANKHD1-EIF4EBP3;1,00;0,70;0,11;4,47
RORB;1,00;0,53;0,11;3,08
TIAL1;1,00;0,38;0,11;3,58
NRXN3;1,00;0,68;0,11;3,44
PTPRD;1,00;1,03;0,11;0,27
WAPAL;1,00;0,67;0,11;3,46
RBM26;1,00;0,75;0,11;2,53
RIF1;1,00;1,08;0,11;-0,41
NLK;1,00;0,48;0,11;3,57
PHIP;1,00;0,57;0,11;5,14
LPHN2;1,00;0,93;0,11;1,22
DPYSL5;1,00;0,62;0,11;3,08
USP8;1,00;0,84;0,11;1,87
TIPARP;1,00;0,82;0,11;1,73
ZBTB4;1,00;0,85;0,11;1,93
ISY1;1,00;0,84;0,11;1,24
HNRNPU;1,00;0,62;0,11;3,37
TLK2;1,00;0,42;0,11;4,49
TRERF1;1,00;0,82;0,11;2,26
DHX30;1,00;0,50;0,12;5,30
MYCBP2;1,00;0,68;0,12;6,05
FUBP1;1,00;0,63;0,12;2,97
TRIM24;1,00;0,64;0,12;3,43
ZC3H7A;1,00;0,85;0,12;1,75
UBXN7;1,00;0,53;0,12;3,18
SLC17A7;1,00;0,55;0,12;3,49
NOTCH2;1,00;0,77;0,12;3,50
SMARCC1;1,00;0,78;0,12;2,45
RAI1;1,00;0,96;0,12;1,12
CSE1L;1,00;0,71;0,12;2,85
EIF4A1;1,00;0,36;0,12;3,93
PIK3CA;1,00;0,38;0,12;5,60
KIF5C;1,00;0,55;0,12;4,05
REV3L;1,00;0,86;0,12;2,47
AGPS;1,00;0,59;0,12;3,23
ADAM10;1,00;0,60;0,12;3,31
MED1;1,00;0,84;0,12;2,14
SMARCC2;1,00;0,64;0,12;3,91
MYRF;1,00;0,70;0,12;3,29
DOT1L;1,00;0,80;0,12;2,72
CHAF1A;1,00;0,85;0,12;1,85
PSMD1;1,00;0,59;0,12;3,70
SRRM2;1,00;1,48;0,12;-6,28
PIAS4;1,00;0,68;0,12;2,63
ACTR3;1,00;0,40;0,12;3,61
DDX3X;1,00;0,33;0,12;4,33
TSC1;1,00;0,80;0,12;2,32
SON;1,00;0,93;0,12;1,54
WHSC1;1,00;0,66;0,12;3,90
TCEB3;1,00;0,83;0,12;1,79
STAG1;1,00;0,56;0,12;4,44
ATRX;1,00;0,75;0,12;3,10
VCPIP1;1,00;0,66;0,12;3,56
EIF4A3;1,00;0,35;0,12;4,02
MAU2;1,00;0,47;0,12;4,03
PSMC2;1,00;0,43;0,12;3,62
DAZAP1;1,00;0,47;0,12;3,37
POGZ;1,00;0,70;0,12;3,51
PRKAR1A;1,00;0,48;0,12;3,12
SF3A3;1,00;0,44;0,12;3,62
FXR1;1,00;0,59;0,12;3,20
CDC42BPB;1,00;0,72;0,12;3,66
XPO7;1,00;0,49;0,12;4,82
RARB;1,00;0,57;0,12;2,87
RERE;1,00;0,86;0,12;2,03
ZMYND11;1,00;0,51;0,12;3,71
RPL4;1,00;0,88;0,12;1,27
SUPT16H;1,00;0,45;0,12;5,10
ZBTB47;1,00;0,73;0,12;2,45
PRRC2C;1,00;0,85;0,12;2,49
PPFIA3;1,00;0,47;0,12;5,49
ATP1A1;1,00;0,32;0,12;6,22
KIF11;1,00;0,66;0,12;3,27
NCOA2;1,00;0,83;0,12;2,29
HIPK1;1,00;0,79;0,12;2,48
KIAA0430;1,00;0,80;0,12;2,73
ARMCX4;1,00;0,78;0,12;2,64
KMT2C;1,00;0,91;0,12;2,14
PIK3AP1;1,00;0,78;0,12;2,26
SEMA4C;1,00;0,77;0,12;2,39
CYTH1;1,00;0,64;0,12;2,44
RBM17;1,00;0,50;0,12;3,10
RTF1;1,00;0,36;0,12;4,59
IPO5;1,00;0,67;0,12;3,36
NUP98;1,00;0,92;0,12;1,41
TRAF2;1,00;0,84;0,12;1,56
EIF4B;1,00;0,76;0,12;2,15
ADNP;1,00;0,82;0,12;2,07
RET;1,00;0,96;0,12;0,96
TEAD1;1,00;0,79;0,12;1,66
CCDC22;1,00;0,87;0,12;1,29
SHANK3;1,00;0,69;0,12;3,74
CACNA1E;1,00;0,59;0,12;5,81
PRMT5;1,00;0,63;0,12;3,03
JADE3;1,00;0,78;0,12;1,90
WDR5;1,00;0,39;0,12;3,39
CUL4A;1,00;0,67;0,12;2,81
PCLO;1,00;1,12;0,12;-1,46
ZNF219;1,00;0,68;0,12;2,92
GAPVD1;1,00;0,80;0,13;2,59
EPC1;1,00;0,72;0,13;2,67
KCNB1;1,00;0,52;0,13;4,27
NLGN2;1,00;0,49;0,13;4,47
PCDH19;1,00;0,74;0,13;2,59
DDX17;1,00;0,53;0,13;3,87
RB1;1,00;0,72;0,13;2,67
WNK1;1,00;0,87;0,13;2,16
ZC3H18;1,00;1,00;0,13;0,58
CDK12;1,00;0,80;0,13;2,52
HECTD4;1,00;0,63;0,13;6,94
RALGPS1;1,00;0,58;0,13;3,09
TNRC6C;1,00;0,90;0,13;1,65
SCN2A;1,00;0,48;0,13;6,46
SOBP;1,00;0,82;0,13;1,92
VCP;1,00;0,33;0,13;5,41
TLN1;1,00;0,69;0,13;4,67
BTAF1;1,00;0,65;0,13;4,38
EPHA7;1,00;0,77;0,13;2,39
COL4A1;1,00;0,77;0,13;3,02
SIK3;1,00;0,76;0,13;2,83
KAT6B;1,00;0,80;0,13;2,89
KAT7;1,00;0,41;0,13;4,28
ZFR;1,00;0,57;0,13;4,09
GSE1;1,00;1,39;0,13;-3,31
GSK3A;1,00;0,50;0,13;3,22
L1CAM;1,00;0,72;0,13;2,84
CTNNB1;1,00;0,53;0,13;3,85
PBRM1;1,00;0,68;0,13;3,84
PRICKLE1;1,00;0,83;0,13;1,83
PUM1;1,00;0,57;0,13;4,42
AHCTF1;1,00;1,08;0,13;-0,38
TNPO2;1,00;0,33;0,13;5,88
AAK1;1,00;0,74;0,13;2,61
RASA1;1,00;0,70;0,13;3,10
CDC5L;1,00;0,69;0,13;2,78
FERMT2;1,00;0,79;0,13;1,96
WTAP;1,00;0,66;0,13;2,27
UBR3;1,00;0,61;0,13;4,43
SCN8A;1,00;0,38;0,13;7,64
FNIP2;1,00;0,92;0,13;1,28
MSN;1,00;0,54;0,13;2,93
PPP1R12A;1,00;0,73;0,13;2,64
RANBP9;1,00;0,86;0,13;1,49
USP47;1,00;0,79;0,13;2,44
CCDC88A;1,00;0,83;0,13;2,35
MLLT3;1,00;0,78;0,13;1,90
EIF3A;1,00;0,75;0,13;3,04
YTHDC2;1,00;1,03;0,13;0,33
KSR2;1,00;0,67;0,13;3,34
ZMYND8;1,00;0,62;0,13;4,04
CCNA2;1,00;0,68;0,13;2,22
PTPN6;1,00;0,65;0,13;2,87
SCML2;1,00;0,66;0,13;2,40
SNRK;1,00;0,60;0,13;3,47
MINK1;1,00;0,64;0,13;4,08
IRF6;1,00;0,60;0,13;2,74
ZRSR2;1,00;0,81;0,13;1,46
RFX7;1,00;0,89;0,13;1,60
CSTF2;1,00;0,45;0,13;3,43
NR4A2;1,00;0,74;0,13;2,24
TULP4;1,00;0,93;0,13;1,37
MAP1B;1,00;0,85;0,13;2,51
USP42;1,00;1,23;0,13;-1,63
ZNF592;1,00;0,98;0,13;0,80
NPAS2;1,00;0,75;0,13;2,50
ZSWIM8;1,00;0,60;0,13;5,14
IQSEC2;1,00;0,45;0,13;5,19
U2AF2;1,00;0,31;0,13;4,71
ITPR1;1,00;0,63;0,13;5,60
COL2A1;1,00;0,74;0,13;3,29
NPLOC4;1,00;0,59;0,13;3,20
MAPKAPK2;1,00;0,51;0,13;3,05
DDX42;1,00;0,66;0,13;3,29
CACNA1A;1,00;0,61;0,13;5,78
SUZ12;1,00;0,56;0,13;3,40
PHF12;1,00;0,78;0,14;2,43
DACH1;1,00;0,75;0,14;2,19
PORCN;1,00;0,63;0,14;2,37
CTR9;1,00;0,57;0,14;4,30
RBM5;1,00;0,52;0,14;4,17
NRBP1;1,00;0,51;0,14;3,43
TBX5;1,00;0,90;0,14;1,19
FRMD4A;1,00;0,78;0,14;2,46
PTPN11;1,00;0,59;0,14;3,13
DLGAP3;1,00;0,76;0,14;2,63
HIRA;1,00;0,63;0,14;3,71
SETD1A;1,00;0,89;0,14;1,83
NAA35;1,00;0,54;0,14;3,66
ELMSAN1;1,00;0,86;0,14;1,79
CACTIN;1,00;0,66;0,14;3,20
ARHGEF6;1,00;0,87;0,14;1,35
FAM120C;1,00;0,55;0,14;3,63
RBM6;1,00;0,82;0,14;2,17
KIF1A;1,00;0,61;0,14;5,16
MECOM;1,00;0,88;0,14;1,62
MBD5;1,00;0,97;0,14;0,86
MEIS1;1,00;0,46;0,14;3,30
INTS6;1,00;0,56;0,14;3,83
ZFHX3;1,00;1,11;0,14;-1,23
JPH4;1,00;0,68;0,14;2,56
SMARCA1;1,00;0,72;0,14;2,44
HEATR1;1,00;1,04;0,14;0,09
BAI3;1,00;0,88;0,14;1,83
SLC12A5;1,00;0,55;0,14;4,70
TAF3;1,00;0,79;0,14;2,21
SHOC2;1,00;0,59;0,14;2,97
PSMC1;1,00;0,34;0,14;3,95
RBM22;1,00;0,51;0,14;3,16
NFKB1;1,00;0,67;0,14;3,19
AFF4;1,00;0,78;0,14;2,47
RB1CC1;1,00;0,98;0,14;0,81
SAFB;1,00;0,80;0,14;2,14
TRAPPC8;1,00;0,93;0,14;1,21
ARID4A;1,00;0,90;0,14;1,45
TRIO;1,00;0,68;0,14;5,32
YTHDF2;1,00;0,72;0,14;2,27
PPFIA2;1,00;0,69;0,14;3,26
KDM6B;1,00;0,94;0,14;1,32
SPTB;1,00;0,99;0,14;0,75
SOS1;1,00;0,73;0,14;3,05
BAI1;1,00;0,62;0,14;4,48
AMBRA1;1,00;0,75;0,14;2,95
UBE2O;1,00;0,70;0,14;3,44
ZNF292;1,00;0,94;0,14;1,41
BCOR;1,00;0,86;0,14;1,88
HDAC5;1,00;0,68;0,14;3,32
PODXL2;1,00;0,95;0,14;0,91
AFTPH;1,00;0,99;0,14;0,69
RANBP3;1,00;0,80;0,14;1,85
SPAG9;1,00;0,72;0,14;3,13
FNBP4;1,00;0,90;0,14;1,39
AGPAT3;1,00;0,63;0,14;2,54
RANBP2;1,00;1,10;0,14;-0,78
TKTL1;1,00;1,26;0,14;-0,85
ZBTB44;1,00;0,76;0,14;1,87
WHSC1L1;1,00;0,67;0,14;3,73
CNOT4;1,00;0,57;0,14;3,49
JAG2;1,00;0,84;0,14;2,20
TFCP2L1;1,00;0,82;0,14;1,63
MAOA;1,00;0,64;0,14;2,38
SAMD4B;1,00;0,65;0,14;3,04
CSNK1E;1,00;0,55;0,14;3,18
DNMT1;1,00;0,59;0,14;4,99
PHEX;1,00;0,81;0,14;1,71
ATXN2L;1,00;0,81;0,14;2,25
XPO4;1,00;0,59;0,14;4,02
ARFGEF1;1,00;0,55;0,14;5,37
COPS5;1,00;0,35;0,14;3,44
SPOP;1,00;0,27;0,14;4,14
CSDE1;1,00;0,61;0,14;3,45
API5;1,00;0,58;0,14;2,92
CUL1;1,00;0,26;0,14;5,70
DDX46;1,00;0,39;0,14;5,48
ZFHX4;1,00;0,97;0,14;1,01
GNB1;1,00;0,35;0,15;3,83
HOMER1;1,00;0,59;0,15;2,43
ZFPM2;1,00;1,05;0,15;0,21
AEBP2;1,00;0,68;0,15;2,21
NUP85;1,00;0,98;0,15;0,76
CBLL1;1,00;0,87;0,15;1,34
RNF38;1,00;0,83;0,15;1,56
BAZ2A;1,00;0,87;0,15;2,08
JAG1;1,00;0,71;0,15;3,25
ASXL2;1,00;0,88;0,15;1,71
SP3;1,00;0,85;0,15;1,63
SRRM1;1,00;0,89;0,15;1,46
MAML1;1,00;1,01;0,15;0,48
CCNC;1,00;0,57;0,15;2,25
KIF23;1,00;0,81;0,15;2,08
EZH2;1,00;0,41;0,15;4,68
RFX4;1,00;0,77;0,15;2,23
XRCC5;1,00;0,67;0,15;2,81
USP24;1,00;0,64;0,15;4,99
CHD3;1,00;0,53;0,15;6,15
HNRNPA1;1,00;0,54;0,15;2,82
PPP1CB;1,00;0,14;0,15;4,33
FLT4;1,00;0,78;0,15;2,83
UNC79;1,00;0,72;0,15;4,16
ZNF217;1,00;0,95;0,15;1,03
EFHC2;1,00;0,99;0,15;0,62
WBP11;1,00;0,63;0,15;2,98
ITPKB;1,00;0,99;0,15;0,64
CTCF;1,00;0,45;0,15;4,44
ATP2B2;1,00;0,59;0,15;4,55
MAOB;1,00;0,74;0,15;1,75
KLHDC3;1,00;0,45;0,15;3,45
PRMT1;1,00;0,39;0,15;3,81
TGFB2;1,00;0,71;0,15;2,13
DIP2C;1,00;0,63;0,15;4,67
NFIX;1,00;0,36;0,15;4,08
FBXL17;1,00;0,68;0,15;2,17
WAS;1,00;0,71;0,15;1,98
GCM1;1,00;0,84;0,15;1,44
YBX2;1,00;0,79;0,15;1,60
TLE4;1,00;0,59;0,15;3,60
SLC6A1;1,00;0,45;0,15;4,18
EBF3;1,00;0,52;0,15;3,61
MAPK8IP3;1,00;0,78;0,15;2,88
AHSA1;1,00;0,76;0,15;1,69
PAN3;1,00;0,73;0,15;2,52
PKN2;1,00;0,69;0,15;2,97
ABCD1;1,00;0,80;0,15;1,87
SETD1B;1,00;0,65;0,15;4,67
CLCN4;1,00;0,38;0,15;4,52
ARHGEF9;1,00;0,49;0,15;3,04
B4GALT5;1,00;0,65;0,15;2,37
MSL1;1,00;0,74;0,15;1,77
SERPINC1;1,00;0,86;0,15;1,36
KALRN;1,00;0,65;0,15;4,36
CASZ1;1,00;0,83;0,15;2,61
MARCH6;1,00;0,57;0,15;3,88
SFPQ;1,00;0,62;0,15;2,98
BCORL1;1,00;0,84;0,15;2,06
CMIP;1,00;0,64;0,15;3,26
PPRC1;1,00;1,03;0,15;0,24
DDX26B;1,00;0,81;0,15;1,71
C11orf30;1,00;0,85;0,15;1,99
EFEMP1;1,00;0,78;0,15;1,82
MAPKAP1;1,00;0,62;0,15;2,83
ATP1B1;1,00;0,67;0,15;2,00
ELFN1;1,00;0,76;0,15;2,44
SMCHD1;1,00;0,71;0,15;3,63
FBXW2;1,00;0,65;0,15;2,44
GGA1;1,00;0,91;0,15;1,22
CAMSAP3;1,00;0,72;0,15;3,35
AHR;1,00;0,98;0,15;0,73
DMD;1,00;1,24;0,15;-2,43
PPP1R10;1,00;0,71;0,15;2,95
HDLBP;1,00;0,63;0,15;4,10
ZNF609;1,00;0,87;0,15;1,83
ARHGAP42;1,00;0,65;0,16;2,96
OCRL;1,00;0,62;0,16;2,96
RICTOR;1,00;0,76;0,16;3,05
ZNF541;1,00;0,78;0,16;2,64
FASN;1,00;0,87;0,16;2,36
ATAD2B;1,00;0,63;0,16;3,96
PCIF1;1,00;0,75;0,16;2,41
DENND5B;1,00;0,68;0,16;3,39
HOOK3;1,00;0,72;0,16;2,36
ARHGEF2;1,00;0,65;0,16;3,61
XPR1;1,00;0,61;0,16;3,23
INTS10;1,00;0,87;0,16;1,44
USP3;1,00;0,73;0,16;2,11
MARK2;1,00;0,49;0,16;4,45
IKZF1;1,00;0,54;0,16;3,38
CDH11;1,00;0,87;0,16;1,59
KDM4A;1,00;0,63;0,16;3,68
RREB1;1,00;1,09;0,16;-0,43
CHD4;1,00;0,50;0,16;6,34
HIPK2;1,00;0,75;0,16;2,86
NR2E1;1,00;0,59;0,16;2,60
KPNA4;1,00;0,50;0,16;3,23
CHD5;1,00;0,60;0,16;5,32
PLXND1;1,00;0,76;0,16;3,35
RXRA;1,00;0,60;0,16;2,97
LRRC7;1,00;0,70;0,16;3,60
ZFC3H1;1,00;0,86;0,16;2,14
UBE4B;1,00;0,67;0,16;3,73
DOCK3;1,00;0,71;0,16;3,94
DMXL2;1,00;0,87;0,16;2,37
PELP1;1,00;0,94;0,16;1,12
TXLNG;1,00;1,11;0,16;0,09
UNC13A;1,00;0,54;0,16;5,63
MAT2A;1,00;0,38;0,16;3,63
HECTD1;1,00;0,66;0,16;5,01
KCNQ2;1,00;0,57;0,16;4,04
TANC2;1,00;0,85;0,16;2,34
PPP3CA;1,00;0,46;0,16;3,63
LARP4B;1,00;0,81;0,16;1,94
